i;j;distrout
Nefta;Jerba Houmet Souk;350
Monastir;Jerba Houmet Souk;386
Mornaguia;Jerba Houmet Souk;539
Om Laraies;Jerba Houmet Souk;338
Ouedhref;Jerba Houmet Souk;140
Jemmal;Jedeida;203
Jendouba;Jedeida;160
Kairouan;Jedeida;157
Ksar;Jedeida;341
Korba;Jedeida;101
Ksour Essef;Jedeida;236
Kerkenah;Jedeida;338
Kebili;Jedeida;537
Kelibia;Jedeida;150
Mahdia;Jedeida;236
Mahres;Jedeida;326
Makthar;Jedeida;165
Le Kef;Jedeida;173
Bizerte;Jedeida;70
Bouficha;Jedeida;104
Bou Arada;Jedeida;76
Bou Argoub;Jedeida;74
Bou Salem;Jedeida;138
Benane Bodher;Jedeida;207
Ben Guerdane;Jedeida;578
Beja;Jedeida;120
Chebba;Jedeida;261
Dahmani;Jedeida;183
Enfidha;Jedeida;130
El Jem;Jedeida;226
El Fahs;Jedeida;65
Douz;Jedeida;566
Ghar El Melh;Jedeida;48
Ghardimaou;Jedeida;193
Guettar;Jedeida;359
Gromballia;Jedeida;66
Feriana;Jedeida;318
Gafsa;Jedeida;345
Gabes;Jedeida;438
Gaafour;Jedeida;102
Sidi Thabet;Jedeida;19
Siliana;Jedeida;132
Sidi Bou Ali;Jedeida;145
Sidi Bouzid;Jedeida;261
Tabarka;Jedeida;152
Sousse;Jedeida;170
Souk El Ahad;Jedeida;553
Skhira;Jedeida;378
Sers;Jedeida;168
Sbeitla;Jedeida;250
Sfax;Jedeida;291
Tozeur;Jedeida;437
Tunis;Jedeida;33
Tajerouine;Jedeida;208
Takelsa;Jedeida;73
Agareb;Jedeida;304
Testour;Jedeida;85
Tela;Jedeida;246
Tebourba;Jedeida;13
Teboursouk;Jedeida;107
Tataouine;Jedeida;557
Zarzis;Jedeida;571
Zaghouan;Jedeida;66
Zeramdine;Jedeida;206
Zriba;Jedeida;75
Alia;Jedeida;50
Metlaoui;Jedeida;383
Metouia;Jedeida;421
Moknine;Jedeida;220
Mateur;Jedeida;45
Mareth;Jedeida;473
Menzel Temime;Jedeida;135
Menzel Bourguiba;Jedeida;47
Menzel Hayet;Jedeida;198
Medenine;Jedeida;508
Mediaz El Bab;Jedeida;49
Meknassy;Jedeida;319
M'Dhilla;Jedeida;358
Nabeul;Jedeida;94
Nefta;Jedeida;460
Monastir;Jedeida;198
Mornaguia;Jedeida;15
Om Laraies;Jedeida;394
Ouedhref;Jedeida;417
Jendouba;Jemmal;329
Kairouan;Jemmal;73
Ksar;Jemmal;298
Korba;Jemmal;158
Ksour Essef;Jemmal;34
Kerkenah;Jemmal;159
Kebili;Jemmal;358
Kelibia;Jemmal;198
Mahdia;Jemmal;34
Mahres;Jemmal;147
Makthar;Jemmal;179
Le Kef;Jemmal;247
Bizerte;Jemmal;247
Bouficha;Jemmal;103
Bou Arada;Jemmal;168
Bou Argoub;Jemmal;132
Bou Salem;Jemmal;307
Benane Bodher;Jemmal;12
Ben Guerdane;Jemmal;399
Beja;Jemmal;289
Chebba;Jemmal;59
Dahmani;Jemmal;230
