"id";"reg";"mil";"sex";"age";"mat";"ins";"csp";"nbp";"pvr";"rev"
289;"GT";"urbain";"femme";69;"celibataire";"primaire";"inactif";2;FALSE;5976
290;"GT";"urbain";"femme";53;"veuf";"secondaire";"cadre";5;FALSE;6272
291;"GT";"urbain";"femme";52;"veuf";"secondaire";"inactif";6;FALSE;3181
292;"GT";"urbain";"femme";69;"divorce";"aucun";"inactif";1;FALSE;7522
293;"GT";"urbain";"homme";54;"marie";"secondaire";"employé";5;FALSE;5578
294;"GT";"urbain";"homme";70;"marie";"aucun";"employé";2;FALSE;7468
295;"GT";"urbain";"femme";63;"divorce";"primaire";"employé";2;FALSE;7322
296;"GT";"urbain";"femme";60;"celibataire";"aucun";"inactif";1;FALSE;8014
297;"GT";"urbain";"homme";33;"marie";"secondaire";"employé";4;FALSE;8790
298;"GT";"urbain";"homme";51;"marie";"secondaire";"cadre";4;FALSE;10381
299;"GT";"urbain";"homme";46;"marie";"supérieur";"cadre";4;FALSE;7085
300;"GT";"urbain";"homme";56;"marie";"supérieur";"retraité";4;FALSE;9877
301;"GT";"urbain";"homme";50;"marie";"supérieur";"employé";5;FALSE;13107
302;"GT";"urbain";"homme";54;"marie";"supérieur";"cadre";5;FALSE;10892
303;"GT";"urbain";"homme";46;"marie";"secondaire";"ouvrier";5;FALSE;7121
304;"GT";"urbain";"femme";56;"veuf";"primaire";"inactif";3;FALSE;7391
305;"GT";"urbain";"homme";42;"marie";"supérieur";"cadre";5;FALSE;6688
306;"GT";"urbain";"homme";60;"marie";"supérieur";"cadre";3;FALSE;11446
307;"GT";"urbain";"homme";40;"marie";"supérieur";"employé";3;FALSE;6614
308;"GT";"urbain";"homme";49;"marie";"secondaire";"employé";6;FALSE;5289
309;"GT";"urbain";"femme";61;"divorce";"primaire";"inactif";4;FALSE;3838
310;"GT";"urbain";"homme";38;"marie";"supérieur";"employé";4;FALSE;5877
311;"GT";"urbain";"homme";37;"marie";"primaire";"ouvrier";3;FALSE;6773
312;"GT";"urbain";"femme";56;"veuf";"secondaire";"inactif";3;FALSE;5786
313;"GT";"urbain";"homme";39;"marie";"secondaire";"ouvrier";5;FALSE;3599
314;"GT";"urbain";"homme";64;"marie";"primaire";"retraité";3;FALSE;9048
315;"GT";"urbain";"homme";34;"marie";"secondaire";"ouvrier";4;FALSE;6185
316;"GT";"urbain";"femme";64;"veuf";"aucun";"indépendant";7;FALSE;5277
317;"GT";"urbain";"homme";38;"marie";"secondaire";"employé";4;FALSE;3754
318;"GT";"urbain";"homme";35;"marie";"secondaire";"employé";2;FALSE;5508
319;"GT";"urbain";"homme";71;"marie";"primaire";"employé";5;TRUE;2264
320;"GT";"urbain";"homme";34;"marie";"supérieur";"employé";4;FALSE;4508
321;"GT";"urbain";"femme";79;"veuf";"aucun";"inactif";3;FALSE;6731
